#,Country,GDP (PPP)  per capita  (2022),GDP (nominal) per capita (2022) ,"vs. World PPP  GDP per capita ($20,645)"
98,Mongolia,"$14,230","$4,965",69%
99,Fiji,"$14,125","$5,376",68%
100,Dominica,"$13,573","$9,159",66%
101,Vietnam,"$13,457","$4,101",65%
102,Algeria,"$13,210","$4,220",64%
103,Ecuador,"$12,822","$6,455",62%
104,Ukraine,"$12,671","$3,910",61%
105,Tunisia,"$12,490","$3,850",60%
106,Jamaica,"$11,822","$6,022",57%
107,Belize,"$11,451","$7,012",55%
108,Namibia,"$11,206","$4,363",54%
109,El Salvador,"$11,096","$5,173",54%
110,Jordan,"$11,003","$4,216",53%
111,Iraq,"$10,862","$5,995",53%
112,Guatemala,"$10,818","$5,323",52%
113,Eswatini,"$10,782","$3,982",52%
114,Philippines,"$10,133","$3,547",49%
115,Bolivia,"$9,684","$3,566",47%
116,Uzbekistan,"$9,533","$2,301",46%
117,Morocco,"$9,519","$3,595",46%
118,Laos,"$9,384","$2,080",45%
119,Cabo Verde,"$9,083","$4,454",44%
120,India,"$8,379","$2,375",41%
121,Bangladesh,"$7,395","$2,717",36%
122,Marshall Islands,"$7,228","$6,978",35%
123,Angola,"$6,974","$2,995",34%
124,Nicaragua,"$6,875","$2,328",33%
125,State of Palestine,"$6,757","$3,602",33%
126,Honduras,"$6,741","$3,031",33%
127,Côte d'Ivoire,"$6,538","$2,304",32%
128,Ghana,"$6,498","$2,197",31%
129,Pakistan,"$6,437","$1,545",31%
130,Mauritania,"$6,424","$2,128",31%
131,Kyrgyzstan,"$6,133","$1,571",30%
132,Samoa,"$6,041","$3,867",29%
133,Nigeria,"$5,860","$2,139",28%
134,Kenya,"$5,764","$2,091",28%
135,Tuvalu,"$5,421","$6,040",26%
136,Cambodia,"$5,349","$1,741",26%
137,Tajikistan,"$4,885","$1,030",24%
138,Myanmar,"$4,870","$1,104",24%
139,Timor-Leste,"$4,828","$2,310",23%
140,Sao Tome & Principe,"$4,738","$2,416",23%
141,Nepal,"$4,725","$1,374",23%
142,Papua New Guinea,"$4,447","$3,002",22%
143,Cameroon,"$4,408","$1,605",21%
144,Sudan,"$4,216","$1,046",20%
145,Senegal,"$4,209","$1,568",20%
146,Benin,"$4,056","$1,265",20%
147,Zambia,"$3,894","$1,478",19%
148,Micronesia,"$3,855",$816,19%
149,Comoros,"$3,832","$1,489",19%
150,Congo,"$3,791","$2,422",18%
151,Haiti,"$3,305","$1,761",16%
152,Vanuatu,"$3,289","$3,142",16%
153,Guinea,"$3,187","$1,510",15%
154,Tanzania,"$3,097","$1,170",15%
155,Ethiopia,"$2,812","$1,011",14%
156,Rwanda,"$2,792",$975,14%
157,Lesotho,"$2,695","$1,117",13%
158,Uganda,"$2,694",$963,13%
159,Solomon Islands,"$2,654","$2,043",13%
160,Togo,"$2,608",$894,13%
161,Burkina Faso,"$2,546",$839,12%
162,Zimbabwe,"$2,531","$1,287",12%
163,Mali,"$2,517",$816,12%
164,Gambia,"$2,510",$862,12%
165,Kiribati,"$2,365","$1,712",11%
166,Guinea-Bissau,"$2,190",$776,11%
167,Sierra Leone,"$1,931",$480,9%
168,Madagascar,"$1,774",$491,9%
169,Malawi,"$1,732",$640,8%
170,Liberia,"$1,725",$745,8%
171,Chad,"$1,668",$688,8%
172,Niger,"$1,505",$552,7%
173,Mozambique,"$1,468",$547,7%
174,DR Congo,"$1,337",$567,6%
175,Central African Republic,$967,$467,5%
176,Burundi,$836,$231,4%
177,Tonga,N.A.,$0,N.A.
178,Andorra,N.A.,"$42,055",N.A.
179,American Samoa,N.A.,$0,N.A.
179,San Marino,N.A.,$0,N.A.
179,Turkmenistan,N.A.,$0,N.A.
179,Yemen,N.A.,$0,N.A.
179,Lebanon,N.A.,$0,N.A.
179,Guam,N.A.,$0,N.A.
179,Northern Mariana Islands,N.A.,$0,N.A.
179,Bhutan,N.A.,$0,N.A.
179,Palau,N.A.,$0,N.A.
179,Aruba,N.A.,$0,N.A.
179,Cuba,N.A.,$0,N.A.
179,Afghanistan,N.A.,$0,N.A.
